mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR157404	control	preserved		3390	200
MNXR173642	control	preserved		3026	129
MNXR112960	control	preserved		2938	136
MNXR189289	control	preserved		3153	149
MNXR123635	control	preserved		3144	182
MNXR200176	control	preserved		2984	142
MNXR164196	control	preserved		3270	210
MNXR206184	control	preserved		2972	129
MNXR172120	control	preserved		2832	144
MNXR181843	control	preserved		2961	140
MNXR107239	control	preserved		2956	125
MNXR169111	control	preserved		3192	127
MNXR182257	control	preserved		2957	140
MNXR153049	control	preserved		2901	166
MNXR132730	control	preserved		2797	159
MNXR123690	control	preserved		3159	167
MNXR131746	control	preserved		2741	123
MNXR175554	control	preserved		3170	131
MNXR173963	control	preserved		2929	195
MNXR116047	control	preserved		2990	117
MNXR194191	control	preserved		2989	143
MNXR120219	control	preserved		3035	135
MNXR171359	control	preserved		2998	121
MNXR167517	control	preserved		2992	140
MNXR182463	control	preserved		3148	174
MNXR179607	control	preserved		3077	143
MNXR115420	control	preserved		2993	126
MNXR166615	control	unscorable		0	0
MNXR177222	control	preserved		2728	144
MNXR102281	control	preserved		3028	174
MNXR94714	control	preserved		3203	176
MNXR137342	control	preserved		2861	146
MNXR176771	control	preserved		2908	125
MNXR194308	control	preserved		2931	123
MNXR176799	control	preserved		3030	130
MNXR198621	control	preserved		2935	113
MNXR166401	control	preserved		2707	121
MNXR170203	control	preserved		2846	123
MNXR204615	control	preserved		2911	144
MNXR185564	control	preserved		2969	185
MNXR152949	control	preserved		2951	142
MNXR187006	control	preserved		3031	170
MNXR110728	control	preserved		3092	178
MNXR198533	control	preserved		3062	142
MNXR201789	control	preserved		2802	160
MNXR192969	control	preserved		3130	145
MNXR95736	control	preserved		2929	152
MNXR110201	control	preserved		2979	137
MNXR197388	control	preserved		2779	146
MNXR114668	control	preserved		3100	152
MNXR196993	control	preserved		2868	135
MNXR146106	control	preserved		2992	142
MNXR149543	control	preserved		2944	141
MNXR196890	control	preserved		2989	178
MNXR162604	control	preserved		2990	163
MNXR169864	control	preserved		3013	139
MNXR200662	control	preserved		2838	130
MNXR122509	control	preserved		2756	126
MNXR169132	control	preserved		3008	126
MNXR173875	control	preserved		3038	178
MNXR119093	control	preserved		3035	165
MNXR187444	control	preserved		2869	164
MNXR200715	control	preserved		2810	133
MNXR206286	control	preserved		2792	127
MNXR174578	control	preserved		2810	133
MNXR185281	control	preserved		3102	179
MNXR193202	control	preserved		3645	189
MNXR147717	control	preserved		2895	128
MNXR181469	control	preserved		2916	139
MNXR200928	control	preserved		3036	131
MNXR144913	control	preserved		2816	160
MNXR122284	control	preserved		3175	183
MNXR167626	control	preserved		3106	136
MNXR203783	control	preserved		2867	153
MNXR133381	control	preserved		2949	144
MNXR162425	control	preserved		2848	136
MNXR191295	control	preserved		2785	125
MNXR203508	control	preserved		2785	124
MNXR130982	control	preserved		2960	133
MNXR204681	control	preserved		3181	140
MNXR187601	control	preserved		2708	124
MNXR110904	control	preserved		3204	179
MNXR167951	control	preserved		2877	141
MNXR118066	control	preserved		2942	128
MNXR175002	control	preserved		2810	133
MNXR114805	control	preserved		2897	124
MNXR117470	control	preserved		2936	132
MNXR122148	control	preserved		3080	141
MNXR105119	control	preserved		2920	138
MNXR185373	control	preserved		2929	125
MNXR121809	control	preserved		3547	151
