NC_000913.3_2	5232|Ambph1_GeneCatalog_proteins_20181206.aa.fasta|GT15	33.6	357	221	9	466	812	373	723	1.6e-51	209.1
NC_000913.3_10	1931|Capcor1_GeneCatalog_proteins_20160826.aa.fasta|GT22	36.4	184	99	5	5	172	67	248	2.9e-17	93.2
NC_000913.3_13	201643|Melli1_GeneCatalog_proteins_20150227.aa.fasta|GT1	45.4	608	297	11	5	591	1316	1909	3.9e-130	469.9
NC_000913.3_14	QRV89709.1|GH17	61.8	68	25	1	4	70	3	70	5.5e-15	86.7
NC_000913.3_20	AAN17394.1|GT77	100.0	113	0	0	1	113	51	163	9.2e-60	233.8
NC_000913.3_23	AEE54321.1|GT2	31.1	309	206	5	1	305	1	306	4.8e-41	172.9
NC_000913.3_24	6608|Capep1_GeneCatalog_proteins_20160826.aa.fasta|GT0	32.8	994	559	24	4	930	5	956	4.2e-141	506.9
NC_000913.3_28	UOH82663.1|GH0	30.4	339	166	10	5	273	5	343	5.4e-21	106.3
NC_000913.3_30	708934|Lopma1_GeneCatalog_proteins_20130805.aa.fasta|GH3	38.0	384	208	7	5	378	803	1166	8.1e-67	258.8
NC_000913.3_33	ALR08878.1|GT26	44.1	102	49	2	8	101	8	109	4.6e-13	79.3
NC_000913.3_34	CUS04591.1|CBM50	35.6	247	150	5	16	260	17	256	6.9e-33	145.6
NC_000913.3_35	CAE6256584.1|GT106	32.8	357	223	9	170	516	1706	2055	3.1e-37	161.0
NC_000913.3_43	10358|Aspnom13137_1_GeneCatalog_proteins_20160919.aa.fasta|GH131	22.8	413	282	12	61	440	69	477	6.2e-10	70.1
NC_000913.3_48	CAD7254892.1|GT51	47.5	80	41	1	44	122	97	176	1.6e-11	73.6
NC_000913.3_56	6274|Ambph1_GeneCatalog_proteins_20181206.aa.fasta|GT2	32.2	171	106	5	16	181	936	1101	2.7e-14	83.6
NC_000913.3_58	CAF2797714.1|GH20	23.6	641	365	24	200	782	512	1085	1.6e-24	119.4
NC_000913.3_62	QIL48108.1|GH0	27.9	136	91	3	156	285	136	270	7.5e-04	49.3
NC_000913.3_64	UTI62271.1|GT1	37.1	213	111	7	19	218	387	589	3.7e-22	109.8
NC_000913.3_69	UVS82500.1|GT2	34.1	361	235	1	25	385	17	374	1.3e-48	198.4
NC_000913.3_70	2304|Uncre1_GeneCatalog_proteins_20131024.aa.fasta|GH13_22|GT5	50.0	192	91	4	4	193	944	1132	1.7e-47	193.7
NC_000913.3_71	2304|Uncre1_GeneCatalog_proteins_20131024.aa.fasta|GH13_22|GT5	61.4	461	169	4	13	464	427	887	1.4e-158	563.9
NC_000913.3_72	10530|Claps1_GeneCatalog_proteins_20160826.aa.fasta|GH31_4	43.9	303	150	10	5	295	4	298	3.4e-54	216.9
NC_000913.3_75	1376|Claps1_GeneCatalog_proteins_20160826.aa.fasta|GT2	37.6	394	222	7	196	573	156	541	7.4e-64	249.6
NC_000913.3_77	AGT25470.1|GH32	30.6	317	213	6	3	316	484	796	1.5e-32	144.8
NC_000913.3_81	QFX95734.1|CBM50	34.4	540	341	8	31	565	20	551	3.1e-81	307.4
NC_000913.3_82	QIS39412.1|GT119	32.6	135	70	3	97	231	125	238	6.1e-06	57.0
NC_000913.3_83	QIS39412.1|GT119	29.0	314	191	15	89	386	124	421	8.6e-07	59.7
NC_000913.3_86	ATM11346.1|GT119	100.0	414	0	0	1	414	1	414	2.6e-228	795.4
NC_000913.3_87	QJY90131.1|GT28	100.0	355	0	0	1	355	1	355	3.4e-200	701.8
NC_000913.3_88	QGQ19590.1|GT28	40.0	475	258	9	10	472	414	873	8.0e-83	312.4
