NC_000913.3_2	9807458at2_156892_0:000330	34.1	138	79	5	125	255	59	191	4.1e-06	54.3
NC_000913.3_23	9803667at2_83333_0:00003c	100.0	313	0	0	1	313	1	313	1.1e-177	622.9
NC_000913.3_24	9810191at2_1134912_0:000c71	26.9	249	153	11	556	790	259	492	6.5e-08	60.5
NC_000913.3_29	9790352at2_83333_0:00061b	100.0	273	0	0	1	273	1	273	2.2e-150	531.9
NC_000913.3_30	9802219at2_2490858_0:000067	35.8	106	55	3	194	292	8	107	2.4e-09	63.9
NC_000913.3_49	9814755at2_83333_0:0001e0	100.0	273	0	0	1	273	1	273	1.5e-154	545.8
NC_000913.3_56	9804933at2_148814_2:000445	36.4	206	119	5	16	214	52	252	1.3e-23	110.5
NC_000913.3_79	9806637at2_83333_0:000b1e	100.0	313	0	0	1	313	1	313	3.0e-175	614.8
NC_000913.3_82	9802589at2_2502791_0:000abd	37.4	489	278	8	6	485	7	476	2.4e-78	293.5
NC_000913.3_83	9802589at2_2502791_0:000abd	25.7	354	239	8	26	358	25	375	4.0e-19	96.7
NC_000913.3_85	9809796at2_83333_0:000d7c	100.0	438	0	0	1	438	1	438	1.6e-251	868.6
NC_000913.3_86	9809796at2_2028574_0:00038a	36.6	366	225	3	43	403	516	879	7.0e-55	215.3
NC_000913.3_87	9808936at2_83333_0:0002bd	100.0	355	0	0	1	355	1	355	2.1e-201	701.8
NC_000913.3_88	9808936at2_52770_0:0006e8	40.4	455	248	7	23	472	382	818	1.3e-79	297.7
NC_000913.3_92	9813375at2_1134687_1:0014f2	98.2	383	7	0	1	383	1	383	3.1e-206	718.0
NC_000913.3_97	9812943at2_339671_0:0005d6	58.7	63	25	1	1	62	206	268	2.3e-16	84.7
NC_000913.3_99	9812943at2_83333_0:00100d	100.0	206	0	0	1	206	1	206	8.4e-110	396.7
NC_000913.3_142	9776733at2_555088_0:000991	38.6	132	69	6	6	130	3	129	6.5e-10	64.7
NC_000913.3_156	9782003at2_2493082_0:0003f5	49.2	65	32	1	319	383	224	287	9.0e-06	52.4
NC_000913.3_163	9808036at2_630626_0:000815	98.3	241	4	0	1	241	1	241	8.3e-133	473.4
NC_000913.3_164	9808348at2_83333_0:00070d	100.0	283	0	0	1	283	1	283	1.0e-150	533.1
NC_000913.3_165	9807458at2_83333_0:0000ba	100.0	241	0	0	1	241	1	241	1.2e-131	469.5
NC_000913.3_166	9804006at2_83333_0:00031d	100.0	153	0	0	1	153	1	153	4.5e-78	291.2
NC_000913.3_171	9782003at2_83333_0:000a9e	100.0	450	0	0	1	450	1	450	1.4e-258	892.1
NC_000913.3_178	9803420at2_83333_0:000c56	100.0	198	0	0	1	198	1	198	4.5e-108	391.0
NC_000913.3_190	9809052at2_83333_0:00105b	100.0	572	0	0	1	572	1	572	0.0e+00	1126.3
NC_000913.3_247	9812272at2_1224744_0:000a99	31.8	110	69	3	37	143	197	303	3.9e-04	46.2
NC_000913.3_391	9804464at2_148814_2:0001c2	35.6	225	137	2	4	223	3	224	2.7e-32	139.4
NC_000913.3_428	9767721at2_83333_0:000300	100.0	432	0	0	1	432	1	432	1.4e-236	818.9
NC_000913.3_430	9778364at2_1142394_0:0000e0	30.5	105	59	4	114	218	55	145	7.5e-04	45.8
NC_000913.3_431	9778364at2_2316736_0:0003cf	28.8	184	88	8	350	528	53	198	7.4e-05	50.1
NC_000913.3_461	9778364at2_1541065_0:00162c	27.6	297	207	3	9	304	6	295	6.2e-26	119.8
NC_000913.3_463	9802672at2_551989_0:00052b	98.0	201	4	0	1	201	1	201	3.7e-110	397.9
NC_000913.3_475	9806637at2_148814_2:000459	31.5	645	425	12	191	827	96	731	4.2e-75	283.5
NC_000913.3_512	9791908at2_83333_0:000142	100.0	169	0	0	1	169	1	169	1.8e-89	328.9
NC_000913.3_515	9810191at2_1329796_0:0008df	31.1	103	70	1	37	138	21	123	2.3e-06	54.3
NC_000913.3_560	9804464at2_148814_2:0001c2	39.9	228	125	3	2	221	3	226	1.0e-39	164.1
NC_000913.3_616	9811804at2_29354_0:000c72	67.7	62	19	1	5	66	3	63	3.4e-18	90.9
NC_000913.3_627	9808936at2_1889813_0:0008cf	31.1	354	215	14	20	359	33	371	3.7e-23	109.8
NC_000913.3_630	9793681at2_83333_0:000cf2	100.0	105	0	0	1	105	1	105	5.7e-54	210.3
NC_000913.3_635	9810191at2_1497955_0:000039	31.8	173	115	2	32	203	2	172	7.5e-19	96.7
NC_000913.3_656	9801213at2_195105_0:000925	27.7	574	287	19	1	474	1	546	2.5e-39	164.1
NC_000913.3_756	9806651at2_83333_0:000c24	100.0	673	0	0	1	673	1	673	0.0e+00	1301.2
NC_000913.3_829	9807240at2_2488860_0:00038f	30.5	200	111	9	91	266	97	292	1.1e-04	48.1
NC_000913.3_857	9811804at2_29354_0:000c72	50.7	71	34	1	1	71	1	70	1.8e-14	78.6
NC_000913.3_859	9776390at2_487796_0:0000f7	22.7	154	109	3	494	645	10	155	9.3e-05	49.7
NC_000913.3_860	9803250at2_1005999_0:00035c	97.2	72	2	0	1	72	1	72	5.4e-35	146.7
NC_000913.3_868	9778364at2_83333_0:000705	100.0	447	0	0	1	447	1	447	4.5e-257	887.1
NC_000913.3_869	9804647at2_83333_0:000933	100.0	430	0	0	1	430	1	430	1.3e-237	822.4
NC_000913.3_886	9803667at2_1793724_0:0006af	35.2	210	128	3	7	214	316	519	1.3e-26	120.6
NC_000913.3_887	9804305at2_1915315_0:000bd2	30.3	185	116	6	98	271	523	705	2.2e-11	71.2
NC_000913.3_924	9803017at2_2234133_0:0003e6	29.5	78	53	1	540	617	59	134	3.3e-04	47.8
NC_000913.3_939	9812943at2_373903_0:000228	50.0	116	58	0	12	127	196	311	1.0e-27	123.6
NC_000913.3_943	9803017at2_941824_0:000482	28.2	131	79	4	208	326	36	163	8.7e-07	55.5
NC_000913.3_966	9811804at2_29354_0:000c72	53.1	64	29	1	7	70	4	66	4.3e-13	73.9
